url,listing_id,zipcode,monthly_rent,bedrooms,bathrooms,square_feet,walk_score,transit_score,deposit,latitude,longitude,neighborhood,nbhd
https://www.apartments.com/dunbar-court-indianapolis-in/ec0t2cq/,ec0t2cq,46202,600,0,1,345,75,52,600,39.78156,-86.16882,Downtown Indianapolis,Downtown Indianapolis
https://www.apartments.com/the-otis-at-fort-ben-apartments-indianapolis-in/1c3lr96/,1c3lr96,46216,1275,1,1,616,45,0,1275,39.85749,-86.0051,Indianapolis,Indianapolis
https://www.apartments.com/wesmont-indianapolis-in/cklkvzg/,cklkvzg,46202,1025,0,1,575,41,41,1025,39.7874,-86.13915,Martindale-Brightwood,Martindale-Brightwood
https://www.apartments.com/cityview-on-meridian-indianapolis-in/svx9pp7/,svx9pp7,46208,1040,1,1,615,74,50,1040,39.82521,-86.15612,Meridian Kessler,Meridian Kessler
https://www.apartments.com/the-lakes-of-georgetown-indianapolis-in/2qh9feb/,2qh9feb,46268,815,1,1,718,29,25,815,39.87055,-86.24341,Augusta,Augusta
https://www.apartments.com/946-mlk-indianapolis-in/pd9q0lr/,pd9q0lr,46202,1250,1,1,544,78,53,1250,39.78064,-86.16852,Circle City,Circle City
https://www.apartments.com/ninth-avenue-apartments-indianapolis-in/tp8pveb/,tp8pveb,46237,811,0,1,545,15,0,811,39.70021,-86.09549,South Emerson,South Emerson
https://www.apartments.com/the-eclipse-apartments-indianapolis-in/e644vdq/,e644vdq,46260,840,1,1,630,73,33,840,39.90949,-86.18596,St Vincent Greenbriar,St Vincent Greenbriar
https://www.apartments.com/coventry-park-village-indianapolis-in/h7wlcb2/,h7wlcb2,46237,1475,2,2.5,1335,19,30,1475,39.68682,-86.08459,South Emerson,South Emerson
https://www.apartments.com/the-life-at-arden-landing-indianapolis-in/sxgddj5/,sxgddj5,46254,822,1,1,725,30,30,822,39.83259,-86.25452,International Market Place,International Market Place
https://www.apartments.com/churchman-woods-indianapolis-in/zvv30pw/,zvv30pw,46203,640,1,1,525,30,0,640,39.71507,-86.07633,Indianapolis,Indianapolis
https://www.apartments.com/ritter-manor-apartments-indianapolis-in/elthlyp/,elthlyp,46218,575,1,1,625,42,38,575,39.79013,-86.07433,Eastside,Eastside
https://www.apartments.com/turtle-creek-indianapolis-in/fsy27ds/,fsy27ds,46260,646,0,1,400,24,34,646,39.90616,-86.1921,St Vincent Greenbriar,St Vincent Greenbriar
https://www.apartments.com/wilshaw-apartments-speedway-in/e3wbn7q/,e3wbn7q,46224,1049,1,1,656,50,0,1049,39.78685,-86.24053,Speedway,Speedway
https://www.apartments.com/the-life-at-wood-springs-indianapolis-in/rqfekh0/,rqfekh0,46254,618,1,1,632,11,33,618,39.83712,-86.2741,Northwest High School,Northwest High School
https://www.apartments.com/country-club-apartments-indianapolis-in/syzgy54/,syzgy54,46227,589,0,1,449,58,34,589,39.72087,-86.15312,North Perry,North Perry
https://www.apartments.com/astoria-park-apartments-indianapolis-in/5091tqn/,5091tqn,46214,945,1,1,670,27,33,945,39.82019,-86.28622,Eagle Creek,Eagle Creek
https://www.apartments.com/pangea-vistas-indianapolis-in/412mcmh/,412mcmh,46219,894,2,1,860,47,38,894,39.78694,-86.06462,Eastside,Eastside
https://www.apartments.com/brookwood-indianapolis-indianapolis-in/lxtc7jg/,lxtc7jg,46227,770,1,1,626,48,29,770,39.68828,-86.14684,Edgewood,Edgewood
https://www.apartments.com/the-retreat-at-carmel-carmel-in/76sbd0z/,76sbd0z,46280,1377,1,1,1010,8,0,200,39.92919,-86.12873,Carmel,Carmel
https://www.apartments.com/the-park-at-greenhill-indianapolis-in/xprw3vp/,xprw3vp,46224,831,1,1,654,42,27,831,39.7664,-86.26194,Garden City,Garden City
https://www.apartments.com/the-delaware-apartments-indianapolis-in/cthvegf/,cthvegf,46205,1100,0,1,50,69,52,1100,39.7977,-86.15283,Fall Creek Place,Fall Creek Place
https://www.apartments.com/the-wylde-indianapolis-in/b27zf19/,b27zf19,46254,936,1,1,580,14,33,936,39.8371,-86.27836,Eagle Creek,Eagle Creek
https://www.apartments.com/westminster-apartments-greenwood-in/k2npgyb/,k2npgyb,46142,936,1,1,621,62,0,936,39.63357,-86.12978,Southside Indianapolis,Southside Indianapolis
https://www.apartments.com/the-timbers-apartments-indianapolis-in/x76zrsq/,x76zrsq,46237,1378,1,1,702,25,22,1378,39.63828,-86.09145,South Perry,South Perry
https://www.apartments.com/oakbrook-village-apartments-indianapolis-in/58zpxtn/,58zpxtn,46254,909,1,1,680,32,25,909,39.86386,-86.24429,Snacks Guion Creek,Snacks Guion Creek
https://www.apartments.com/tgm-autumn-woods-indianapolis-in/d1hy2wl/,d1hy2wl,46250,1025,1,1,710,54,28,1025,39.91724,-86.07452,Castleton,Castleton
https://www.apartments.com/cambridge-commons-indianapolis-in/mcfe6hl/,mcfe6hl,46254,700,0,1,288,34,29,700,39.84243,-86.24394,Indianapolis,Indianapolis
https://www.apartments.com/riverview-apartments-indianapolis-in/hw97hb2/,hw97hb2,46222,1155,0,1,516,44,41,500,39.77427,-86.18991,Near Westside Indianapolis,Near Westside Indianapolis
https://www.apartments.com/oak-lake-at-crooked-creek-indianapolis-in/2lbq438/,2lbq438,46268,850,1,1,647,48,32,850,39.90996,-86.2266,Augusta,Augusta
