,url,listingid,ZIP,Monthly Rent,Bedrooms,Bathrooms,Square Feet,walkScore,transitScore,Deposit,latitude,longitude,Pet,neighborhood
298,https://www.apartments.com/11926-cardis-court-indianapolis-in/wgt9f0k/,wgt9f0k,46229,,,,,0,0,,39.8,-85.95291,,East Warren
299,https://www.apartments.com/5040-harpers-ln-indianapolis-in/vhzj7ff/,vhzj7ff,46268,"$1,660",3 bd,2 ba,"1,220 sq ft",62,25,,39.87899,-86.24721,,Snacks Guion Creek
300,https://www.apartments.com/stonybrook-commons-indianapolis-in/91ql9w7/,91ql9w7,46235,"$895 - $1,200",2 - 3 bd,1 - 2 ba,"845 - 1,190 sq ft",11,0,,39.8129,-85.96642,,Far Eastside
301,https://www.apartments.com/3652-n-kenwood-ave-indianapolis-in/p61zkbv/,p61zkbv,46208,,,,,70,48,,39.82255,-86.16068,,Crown Hill
302,https://www.apartments.com/kingston-square-apartments-indianapolis-in/d7rmzbl/,d7rmzbl,46226,"$769 - $1,299",Studio - 3 bd,1 - 1.5 ba,"578 - 1,025 sq ft",48,36,,39.82201,-86.04288,0,Arlington Woods
303,https://www.apartments.com/11424-long-lake-drive-indianapolis-in/d5tcfbk/,d5tcfbk,46235,"$1,795",4 bd,2.5 ba,"1,992 sq ft",4,0,,39.86309,-85.96436,,Indianapolis
304,https://www.apartments.com/ashgrove-apartments-indianapolis-in/f3txf4s/,f3txf4s,46241,$850 - $875,1 bd,1 ba,576 sq ft,44,30,,39.74949,-86.28094,,Chapel Hill Ben Davis
305,https://www.apartments.com/3158-crestwell-drive-indianapolis-in/5g1v5gm/,5g1v5gm,46268,"$1,995",3 bd,2.5 ba,"2,886 sq ft",5,24,,39.87868,-86.21447,,Augusta
306,https://www.apartments.com/notch-at-nora-indianapolis-in/494te5h/,494te5h,46240,"$1,079 - $1,759",Studio - 2 bd,1 - 2 ba,"605 - 1,020 sq ft",65,31,,39.91104,-86.13513,,North Central
307,https://www.apartments.com/3-br-25-bath-house-10909-zimmerman-lane-indianapolis-in/dvmqt9l/,dvmqt9l,46231,"$1,725",3 bd,2.5 ba,"3,074 sq ft",3,0,,39.73963,-86.32825,,Six Points
308,https://www.apartments.com/idlewood-apartments-indianapolis-in/1zlsyj4/,1zlsyj4,46214,"$830 - $1,105",1 - 2 bd,1 - 2 ba,"595 - 1,050 sq ft",39,35,,39.82012,-86.28232,,Eagle Creek
309,https://www.apartments.com/pinnacle-on-meridian-indianapolis-in/qsfny6w/,qsfny6w,46260,"$2,600 - $3,300",1 - 3 bd,2 ba,"2,200 sq ft",22,28,$250 deposit,39.91165,-86.15871,,Meridian Hills
310,https://www.apartments.com/4008-biscayne-rd-indianapolis-in/d75wz7l/,d75wz7l,46226,"$1,095",3 bd,1 ba,936 sq ft,48,35,,39.83016,-86.01359,,Far Eastside
311,https://www.apartments.com/darby-court-indianapolis-in/0x1d5n2/,0x1d5n2,46224,"$626 - $1,189",1 - 3 bd,1 - 2.5 ba,"495 - 1,540 sq ft",30,0,,39.79523,-86.27007,,Indianapolis
312,https://www.apartments.com/2537-copper-hill-dr-indianapolis-in/fss0c7v/,fss0c7v,46239,"$1,645",3 bd,2 ba,"1,390 sq ft",6,0,"$1,645 deposit",39.73334,-86.02608,,Raymond Park
313,https://www.apartments.com/wildwood-village-apartments-indianapolis-in/yqhtvrt/,yqhtvrt,46222,$640,1 - 2 bd,1 - 2 ba,"650 - 1,064 sq ft",28,32,,39.81867,-86.21979,,Eagledale
314,https://www.apartments.com/10764-lexington-drive-indianapolis-in/42eszvh/,42eszvh,46280,"$2,495",3 bd,2.5 ba,"2,260 sq ft",23,0,,39.94625,-86.13892,,Indianapolis
315,https://www.apartments.com/7202-tresa-drive-indianapolis-in/7eg8wly/,7eg8wly,46239,"$2,195",4 bd,2.5 ba,"3,100 sq ft",6,0,,39.69171,-86.04072,,Galludet
316,https://www.apartments.com/the-residence-at-white-river-apartments-indianapolis-in/1zy0xc6/,1zy0xc6,46228,"$1,225 - $2,425",1 - 3 bd,1 - 2 ba,"605 - 1,265 sq ft",7,30,$100 deposit,39.82598,-86.19661,,Wynnedale Spring Hill
317,https://www.apartments.com/westpark-townhomes-indianapolis-in/vl5hghe/,vl5hghe,46214,"$1,244 - $1,711",1 - 3 bd,1 - 1.5 ba,"650 - 1,380 sq ft",33,30,,39.78232,-86.29999,,Chapel Hill Ben Davis
318,https://www.apartments.com/cumberland-manor-indianapolis-in/tge35j9/,tge35j9,46229,"$1,065 - $1,389",2 bd,1 ba,"790 - 1,184 sq ft",42,0,,39.78141,-85.95631,,Cumberland
319,https://www.apartments.com/the-win-townhomes-indianapolis-in/dw9rvnh/,dw9rvnh,46220,"$1,599 - $2,100",2 - 3 bd,2.5 ba,"1,074 - 1,333 sq ft",91,38,,39.86764,-86.14152,,Broad Ripple
320,https://www.apartments.com/5369-dollar-forge-court-indianapolis-in/e7pm9pq/,e7pm9pq,46221,"$1,650",3 bd,2.5 ba,"1,788 sq ft",6,0,,39.68046,-86.2523,,Valley Mills
321,https://www.apartments.com/6917-wildwood-ct-indianapolis-in/hqlnmw2/,hqlnmw2,46268,"$1,250",3 bd,1.5 ba,"1,248 sq ft",53,25,"$1,000 deposit",39.87963,-86.24187,0,Augusta
322,https://www.apartments.com/van-rooy-downtown-indianapolis-in/ffsywws/,ffsywws,46202,"$1,230",2 bd,1 ba,"1,037 sq ft",77,52,$200 deposit,39.78133,-86.14473,,Chatham Arch
323,https://www.apartments.com/the-fort-apartments-indianapolis-in/kjb3428/,kjb3428,46216,"$1,117 - $1,458",1 - 3 bd,1 - 3 ba,"648 - 1,490 sq ft",44,0,,39.8583,-86.00629,,Indianapolis
324,https://www.apartments.com/2-br-1-bath-house-1005-n-pershing-ave-indianapolis-in/wkn3mgj/,wkn3mgj,46222,$700,2 bd,1 ba,799 sq ft,45,39,,39.78093,-86.19908,,Near Westside Indianapolis
325,https://www.apartments.com/1909-herford-dr-indianapolis-in/nx42z7n/,,,,,,,,,,,,,
326,https://www.apartments.com/historic-irvington-flats-indianapolis-in/g4fl6zx/,g4fl6zx,46219,"$869 - $1,469",Studio - 2 bd,1 - 2 ba,"600 - 1,069 sq ft",63,37,,39.76709,-86.07787,,Irvington
327,https://www.apartments.com/4381-village-parkway-6-2-bed-2-bath-con-indianapolis-in/n546njq/,n546njq,46254,$999,2 bd,2 ba,993 sq ft,23,30,,39.83597,-86.28826,,Indianapolis
328,https://www.apartments.com/echo-ridge-indianapolis-in/ny1f3fm/,ny1f3fm,46239,"$894 - $2,110",1 - 3 bd,1 - 2 ba,"773 - 1,204 sq ft",10,0,$250 deposit,39.71328,-86.01665,,Five Points
329,https://www.apartments.com/available-now-indianapolis-in/fvqmsqs/,fvqmsqs,46224,"$1,420",3 bd,2 ba,"1,125 sq ft",37,32,,39.81485,-86.24394,,Eagledale
330,https://www.apartments.com/fantastic-3bd-15ba-home-let-yourself-in-indianapolis-in/7rp9zex/,7rp9zex,46219,"$1,295",3 bd,1.5 ba,"1,129 sq ft",62,43,,39.78369,-86.0427,,East Gate
331,https://www.apartments.com/10343-kensil-st-indianapolis-in/c83nnzd/,c83nnzd,46236,"$1,780",3 bd,2 ba,"1,745 sq ft",14,0,,39.86569,-85.98426,,Indianapolis
332,https://www.apartments.com/2933-boulevard-pl-indianapolis-in/xs3rg1n/,,,,,,,,,,,,,
333,https://www.apartments.com/3967-downes-dr-indianapolis-in/t62c268/,t62c268,46235,"$1,050",3 bd,1 ba,950 sq ft,25,35,,39.83049,-85.99604,,Far Eastside
334,https://www.apartments.com/pangea-prairies-indianapolis-in/gl3g6zz/,gl3g6zz,46226,"$815 - $1,108",1 - 3 bd,1 - 1.5 ba,"643 - 1,118 sq ft",42,30,,39.84004,-86.06409,,Devington
335,https://www.apartments.com/pickwick-farms-apartments-indianapolis-in/gh4s5ry/,gh4s5ry,46260,"$894 - $2,599",Studio - 3 bd,1 - 2 ba,"600 - 1,100 sq ft",12,0,$200 deposit,39.92371,-86.18789,,St Vincent Greenbriar
336,https://www.apartments.com/available-now-indianapolis-in/03jr581/,03jr581,46217,"$1,695",3 bd,2 ba,"1,551 sq ft",53,0,,39.66508,-86.1761,,Linden Wood
337,https://www.apartments.com/murphys-landing-indianapolis-in/m7hj3rh/,m7hj3rh,46217,"$1,151 - $1,582",1 - 3 bd,1 - 2 ba,"700 - 1,200 sq ft",60,0,,39.66597,-86.184,,Dakota Ridge
338,https://www.apartments.com/aura-indianapolis-in/lh8wmzg/,lh8wmzg,46228,"$986 - $2,142",1 - 3 bd,1 - 2 ba,"1,008 - 1,508 sq ft",5,23,,39.82589,-86.21032,,Wynnedale Spring Hill
339,https://www.apartments.com/apartments-marten-court-indianapolis-in/xgz8q4q/,xgz8q4q,46226,$675 - $925,1 - 2 bd,1 ba,800 - 980 sq ft,54,0,$675 deposit,39.83355,-86.0296,,Far Eastside
340,https://www.apartments.com/7115-sun-ct-indianapolis-in/eye8jyq/,eye8jyq,46241,"$1,830",3 bd,2.5 ba,"1,688 sq ft",30,28,,39.75926,-86.28595,,Chapel Hill Ben Davis
341,https://www.apartments.com/3-br-2-bath-house-3920-owster-ln-indianapolis-in/f0j9s6v/,f0j9s6v,46237,"$1,695",3 bd,2 ba,"1,272 sq ft",11,23,,39.70972,-86.10128,,University Heights
342,https://www.apartments.com/addison-apartments-indianapolis-in/v3f2qcg/,v3f2qcg,46219,$749,2 bd,1 ba,"1,000 sq ft",45,34,$200 deposit,39.79585,-86.04167,,East Gate
343,https://www.apartments.com/the-brixton-beech-grove-in/k7h05y9/,k7h05y9,46107,"$959 - $1,099",1 - 2 bd,1 - 1.5 ba,650 - 855 sq ft,55,0,,39.69624,-86.0853,,Beech Grove
344,https://www.apartments.com/eagle-chase-indianapolis-in/d66lrdj/,d66lrdj,46254,"$1,042 - $1,640",1 - 2 bd,1 - 2 ba,"722 - 1,473 sq ft",28,32,,39.83418,-86.28628,,Eagle Creek
345,https://www.apartments.com/martindale-brightwood-4br-1ba-house-indianapolis-in/3054sse/,3054sse,46205,$850,4 bd,1 ba,"1,467 sq ft",17,44,,39.81482,-86.13962,,Martindale-Brightwood
346,https://www.apartments.com/eagle-lake-landing-indianapolis-in/lrsn5nd/,lrsn5nd,46224,"$934 - $2,385",1 - 3 bd,1 - 2.5 ba,"579 - 1,395 sq ft",28,0,,39.79228,-86.26266,,Indianapolis
